"","utc","Location","PM25","O3","Cases"
"163",2020-06-22,"Greenville",11.7333333333333,0.0355333333333333,3768
"164",2020-06-23,"Greenville",12.8636363636364,0.0316086956521739,3822
"165",2020-06-24,"Greenville",5.13636363636364,0.035047619047619,4066
"166",2020-06-25,"Greenville",12.4375,0.028375,4192
"167",2020-06-26,"Greenville",8.82608695652174,0.0342272727272727,4383
"168",2020-06-27,"Greenville",11.9166666666667,0.038,4538
"169",2020-06-28,"Greenville",33.2083333333333,0.0284347826086957,4733
"170",2020-06-29,"Greenville",12.8095238095238,0.03195,4887
"171",2020-06-30,"Greenville",12.75,0.0287826086956522,5001
"172",2020-07-01,"Greenville",7.41666666666667,0.0311304347826087,5109
"173",2020-07-02,"Greenville",6.27272727272727,0.0390909090909091,5362
"174",2020-07-03,"Greenville",13.1666666666667,0.0485833333333333,5488
"175",2020-07-04,"Greenville",13.3809523809524,0.0355,5687
"176",2020-07-05,"Greenville",14.4583333333333,0.0300434782608696,5855
"177",2020-07-06,"Greenville",12.35,0.0261052631578947,6010
"178",2020-07-07,"Greenville",12,0.029,6059
"179",2020-07-09,"Greenville",3,0.0255,6435
"180",2020-07-10,"Greenville",4.58333333333333,0.0225217391304348,6645
"181",2020-07-11,"Greenville",5.88235294117647,0.0400588235294118,6921
"182",2020-07-12,"Greenville",9.66666666666667,0.0398235294117647,7137
"183",2020-07-13,"Greenville",7.52173913043478,0.0402173913043478,7253
"184",2020-07-14,"Greenville",9.14285714285714,0.0339473684210526,7455
"185",2020-07-15,"Greenville",9.58333333333333,0.0414782608695652,7623
"186",2020-07-16,"Greenville",7.38095238095238,0.0382,7846
"187",2020-07-17,"Greenville",9.23809523809524,0.0323333333333333,8016
"188",2020-07-18,"Greenville",9.73913043478261,0.0364090909090909,8203
"189",2020-07-19,"Greenville",11.5909090909091,0.0334761904761905,8396
"190",2020-07-20,"Greenville",13.8888888888889,0.0486666666666667,8571
"191",2020-07-21,"Greenville",8.625,0.0353913043478261,8716
"192",2020-07-22,"Greenville",4.84210526315789,0.0215555555555556,8820
"193",2020-07-23,"Greenville",8.58333333333333,0.0257826086956522,8952
"194",2020-07-24,"Greenville",5.58333333333333,0.0244347826086957,9121
"195",2020-07-25,"Greenville",5.91304347826087,0.0282173913043478,9248
"196",2020-07-26,"Greenville",7.16666666666667,0.0352352941176471,9343
"197",2020-07-27,"Greenville",5.91666666666667,0.0290869565217391,9463
"198",2020-07-28,"Greenville",7.91304347826087,0.0338636363636364,9603
"199",2020-07-29,"Greenville",6.81818181818182,0.0246666666666667,9715
"200",2020-07-30,"Greenville",6.77777777777778,0.0345555555555556,9853
"201",2020-07-31,"Greenville",8.25,0.02375,10011
"202",2020-08-04,"Greenville",11.5,0.0295,10419
"203",2020-08-05,"Greenville",9.33333333333333,0.03,10471
"204",2020-08-06,"Greenville",8.80952380952381,0.01765,10610
"205",2020-08-07,"Greenville",7.66666666666667,0.0195238095238095,10795
"206",2020-08-08,"Greenville",4.73913043478261,0.0249545454545455,10795
